iter	Accuracy	MultiClass
0	0.1219512195	3.702766165
1	0.2926829268	3.686155661
2	0.6097560976	3.663306846
3	0.8048780488	3.640825228
4	0.8292682927	3.620441425
5	0.9512195122	3.598137166
6	0.9756097561	3.579974339
7	1	3.567568038
8	1	3.549236954
9	1	3.530070829
10	1	3.50632199
11	1	3.496107358
12	1	3.493397807
13	1	3.477728508
14	1	3.464384294
15	1	3.442595893
16	1	3.431552141
17	1	3.4199453
18	1	3.402526425
19	1	3.381715248
20	1	3.369678362
21	1	3.352566784
22	1	3.334712186
23	1	3.318151327
24	1	3.304376153
25	1	3.292431988
26	1	3.281786264
27	1	3.260219852
28	1	3.239603771
29	1	3.220459558
30	1	3.197990274
31	1	3.18279183
32	1	3.170603074
33	1	3.157642657
34	1	3.14332033
35	1	3.122397513
36	1	3.112795874
37	1	3.091777003
38	1	3.071750183
39	1	3.060964651
40	1	3.038953997
41	1	3.027389985
42	1	3.004604096
43	1	2.983982679
44	1	2.973327927
45	1	2.950357131
46	1	2.933729549
47	1	2.918983414
48	1	2.90316634
49	1	2.891761241
50	1	2.875238088
51	1	2.858788964
52	1	2.847275592
53	1	2.82667948
54	1	2.806006842
55	1	2.787579495
56	1	2.779176357
57	1	2.770699514
58	1	2.759170803
59	1	2.751234466
60	1	2.737127731
61	1	2.729170942
62	1	2.716723306
63	1	2.706216232
64	1	2.697873837
65	1	2.676223178
66	1	2.668003397
67	1	2.655641138
68	1	2.645726643
69	1	2.63076159
70	1	2.618755037
71	1	2.603142371
72	1	2.592987935
73	1	2.575172195
74	1	2.561427699
75	1	2.554484138
76	1	2.545536795
77	1	2.53696136
78	1	2.526907878
79	1	2.507076663
80	1	2.500189504
81	1	2.481763168
82	1	2.474607297
83	1	2.466438983
84	1	2.459654542
85	1	2.452602007
86	1	2.434415222
87	1	2.414023587
88	1	2.405884919
89	1	2.391463962
90	1	2.384739824
91	1	2.375235711
92	1	2.368189645
93	1	2.361081642
94	1	2.351288597
95	1	2.34452093
96	1	2.3284183
97	1	2.313088127
98	1	2.290343176
99	1	2.279906378
100	1	2.273420707
101	1	2.260148707
102	1	2.251132999
103	1	2.243947037
104	1	2.232086868
105	1	2.225011491
106	1	2.214577826
107	1	2.207376964
108	1	2.186462782
109	1	2.169045127
110	1	2.162258529
111	1	2.153292408
112	1	2.143540738
113	1	2.13286969
114	1	2.125969356
115	1	2.105826492
116	1	2.099792865
117	1	2.093690641
118	1	2.084899475
119	1	2.078123294
120	1	2.068301883
121	1	2.059838366
122	1	2.054101465
123	1	2.035023837
124	1	2.02686426
125	1	2.014262111
126	1	2.007817446
127	1	2.000555289
128	1	1.994144241
129	1	1.985179302
130	1	1.978673375
131	1	1.973182658
132	1	1.961718342
133	1	1.955952025
134	1	1.943488344
135	1	1.937217796
136	1	1.920695568
137	1	1.911318544
138	1	1.902262536
139	1	1.896262551
140	1	1.890669622
141	1	1.874310458
142	1	1.86707831
143	1	1.860848077
144	1	1.854782446
145	1	1.848996024
146	1	1.839677086
147	1	1.823757291
148	1	1.805407334
149	1	1.786587256
150	1	1.775594708
151	1	1.764818417
152	1	1.755086739
153	1	1.737131412
154	1	1.727492972
155	1	1.712444299
156	1	1.70663986
157	1	1.694732687
158	1	1.679988796
159	1	1.672594764
160	1	1.661304354
161	1	1.649795223
162	1	1.641672546
163	1	1.628570346
164	1	1.622309297
165	1	1.616448133
166	1	1.60952049
167	1	1.602109734
168	1	1.59612428
169	1	1.586915297
170	1	1.577895468
171	1	1.572767532
172	1	1.567160175
173	1	1.561520334
174	1	1.548148543
175	1	1.538229143
176	1	1.530894041
177	1	1.516655887
178	1	1.503811898
179	1	1.49880471
180	1	1.492272537
181	1	1.486437857
182	1	1.473423477
183	1	1.466778561
184	1	1.462047559
185	1	1.454883648
186	1	1.450091163
187	1	1.444368019
188	1	1.439691842
189	1	1.426076786
190	1	1.413739499
191	1	1.408878641
192	1	1.397077459
193	1	1.383741622
194	1	1.378330183
195	1	1.371961053
196	1	1.363571151
197	1	1.358923536
198	1	1.35465236
199	1	1.349678427
200	1	1.345322995
201	1	1.341058083
202	1	1.336214928
203	1	1.329951722
204	1	1.325342256
205	1	1.319077483
206	1	1.314849809
207	1	1.310188364
208	1	1.305289643
209	1	1.294007424
210	1	1.286487146
211	1	1.278226209
212	1	1.268020624
213	1	1.256643243
214	1	1.251804051
215	1	1.240875446
216	1	1.231705524
217	1	1.223210148
218	1	1.217847104
219	1	1.213673798
220	1	1.206446492
221	1	1.201734111
222	1	1.193376803
223	1	1.181665503
224	1	1.17729999
225	1	1.168838987
226	1	1.164971423
227	1	1.160405715
228	1	1.156949636
229	1	1.152457942
230	1	1.144890128
231	1	1.140593281
232	1	1.134278526
233	1	1.130381488
234	1	1.120937953
235	1	1.116467618
236	1	1.105975364
237	1	1.102009595
238	1	1.093493741
239	1	1.089739752
240	1	1.079271597
241	1	1.07387809
242	1	1.066414917
243	1	1.059660567
244	1	1.055926098
245	1	1.052274343
246	1	1.04798466
247	1	1.041161435
248	1	1.03679122
249	1	1.032819705
250	1	1.028793474
251	1	1.023898091
252	1	1.019410884
253	1	1.016127134
254	1	1.011948552
255	1	1.005504394
256	1	1.000132434
257	1	0.9962695011
258	1	0.9933263885
259	1	0.9880643283
260	1	0.9834104226
261	1	0.9796969578
262	1	0.976265416
263	1	0.9727448978
264	1	0.9677098201
265	1	0.9640293391
266	1	0.9602255721
267	1	0.95712825
268	1	0.9537533729
269	1	0.9511014285
270	1	0.9477828638
271	1	0.9405369158
272	1	0.9342926755
273	1	0.9291818094
274	1	0.9259628615
275	1	0.922685981
276	1	0.9193630306
277	1	0.9161915192
278	1	0.9115897117
279	1	0.9062017897
280	1	0.9030247569
281	1	0.900004039
282	1	0.8966509992
283	1	0.8936902505
284	1	0.8902385771
285	1	0.8872765246
286	1	0.8829961244
287	1	0.879750941
288	1	0.8759985899
289	1	0.8727948305
290	1	0.8698400938
291	1	0.8666413138
292	1	0.8621959929
293	1	0.8577062996
294	1	0.8493428081
295	1	0.8430849995
296	1	0.838191181
297	1	0.83437999
298	1	0.8289393264
299	1	0.8248725802
300	1	0.8203911486
301	1	0.8174523043
302	1	0.8118419971
303	1	0.8088903305
304	1	0.8060768659
305	1	0.8003055427
306	1	0.7976147958
307	1	0.7914675582
308	1	0.7888189515
309	1	0.7837376435
310	1	0.7812056368
311	1	0.777689844
312	1	0.7737383553
313	1	0.7710487428
314	1	0.7683690892
315	1	0.7658092546
316	1	0.75909629
317	1	0.753904825
318	1	0.7471700516
319	1	0.7447997434
320	1	0.7421906114
321	1	0.7397112697
322	1	0.7370620297
323	1	0.734634959
324	1	0.7322713414
325	1	0.7297253123
326	1	0.7250879357
327	1	0.7226975888
328	1	0.7195851442
329	1	0.7164719992
330	1	0.7126195382
331	1	0.7098981351
332	1	0.7043486323
333	1	0.6986790596
334	1	0.6959413833
335	1	0.6936492256
336	1	0.6908768839
337	1	0.6887651122
338	1	0.6865149276
339	1	0.6842582141
340	1	0.6792861197
341	1	0.6767835489
342	1	0.6734516296
343	1	0.6711765498
344	1	0.6690146718
345	1	0.6665743023
346	1	0.6644038849
347	1	0.6614297277
348	1	0.6582607698
349	1	0.6561563517
350	1	0.6537466143
351	1	0.6508234317
352	1	0.6488340707
353	1	0.6465972371
354	1	0.6443480182
355	1	0.6401115047
356	1	0.6382903881
357	1	0.6363445315
358	1	0.632169062
359	1	0.6298752139
360	1	0.6279482845
361	1	0.6255447693
362	1	0.6233820965
363	1	0.6190507728
364	1	0.6172690207
365	1	0.6146708738
366	1	0.6119357117
367	1	0.6076875869
368	1	0.6058638925
369	1	0.6040512171
370	1	0.6012243036
371	1	0.5992514746
372	1	0.5975507505
373	1	0.5949777472
374	1	0.5922477836
375	1	0.5890313895
376	1	0.5872986638
377	1	0.5855115195
378	1	0.5821554825
379	1	0.5778672322
380	1	0.574871439
381	1	0.5720612931
382	1	0.5704398291
383	1	0.5687039815
384	1	0.567028891
385	1	0.5637497718
386	1	0.5605364319
387	1	0.5569879073
388	1	0.5532515645
389	1	0.549816723
390	1	0.5482436927
391	1	0.5446215414
392	1	0.5430625548
393	1	0.5402860135
394	1	0.5379511909
395	1	0.5342837679
396	1	0.5327215068
397	1	0.5304540887
398	1	0.5283137703
399	1	0.5241151504
400	1	0.5216154292
401	1	0.5198937051
402	1	0.5160542701
403	1	0.5137250914
404	1	0.5123889823
405	1	0.5086006552
406	1	0.5048620503
407	1	0.5035187956
408	1	0.500011145
409	1	0.4984393759
410	1	0.4970649292
411	1	0.4957213734
412	1	0.4929274669
413	1	0.4911387838
414	1	0.4898133297
415	1	0.4874992815
416	1	0.4856756114
417	1	0.4824545842
418	1	0.4810465548
419	1	0.4797361658
420	1	0.4784308771
421	1	0.476200854
422	1	0.4748061131
423	1	0.4712058245
424	1	0.4683627747
425	1	0.4647938682
426	1	0.4635905116
427	1	0.4618485101
428	1	0.4590401288
429	1	0.4576903031
430	1	0.4566383417
431	1	0.4537443951
432	1	0.4524680552
433	1	0.4513022706
434	1	0.4484705828
435	1	0.44689773
436	1	0.4456560068
437	1	0.4444244668
438	1	0.4432985604
439	1	0.4421697001
440	1	0.4403669376
441	1	0.4385948452
442	1	0.437448911
443	1	0.4345902497
444	1	0.4334608477
445	1	0.43237679
446	1	0.4312814716
447	1	0.4291284607
448	1	0.426347582
449	1	0.4247856129
450	1	0.422956898
451	1	0.421778486
452	1	0.4190273275
453	1	0.4171190304
454	1	0.4147571396
455	1	0.4136010361
456	1	0.4124471203
457	1	0.4110946641
458	1	0.4098375988
459	1	0.4081932547
460	1	0.4071367195
461	1	0.4060191942
462	1	0.4040622966
463	1	0.4028144238
464	1	0.4000662989
465	1	0.3985315631
466	1	0.397275191
467	1	0.3963455778
468	1	0.3938527863
469	1	0.3925354919
470	1	0.3914690299
471	1	0.3904939426
472	1	0.3881985803
473	1	0.3858241567
474	1	0.384887283
475	1	0.383480493
476	1	0.3811576605
477	1	0.3802691834
478	1	0.3792991333
479	1	0.3770960613
480	1	0.3750758702
481	1	0.3739347303
482	1	0.3731875141
483	1	0.3715237853
484	1	0.3706635969
485	1	0.3698964329
486	1	0.3690179897
487	1	0.367267842
488	1	0.3666480852
489	1	0.3655741049
490	1	0.3646846537
491	1	0.3631294243
492	1	0.3625717129
493	1	0.3602398321
494	1	0.3593760702
495	1	0.3582377259
496	1	0.3561120428
497	1	0.3552992078
498	1	0.3543920342
499	1	0.3535354941
